segment,neighbour,fr_to_nb_eur,nb_to_fr_eur,net_for_france_eur,balance_index
everyday,BE,8.90327e+08,1.1389e+09,2.48572e+08,0.122496
everyday,LU,3.01162e+08,1.68609e+08,-1.32553e+08,-0.282164
everyday,DE,1.23692e+09,4.76813e+08,-7.60111e+08,-0.44354
everyday,CH,6.14206e+08,8.20811e+08,2.06606e+08,0.143974
everyday,IT,8.15413e+07,6.06411e+07,-2.09002e+07,-0.146996
everyday,MC,3.23825e+07,1.98989e+07,-1.24836e+07,-0.238777
everyday,ES,3.27608e+08,4.1893e+07,-2.85715e+08,-0.773246
everyday,AD,2.15977e+06,40792.6,-2.11898e+06,-0.962925
comparison,BE,9.10727e+08,1.04233e+09,1.316e+08,0.0673819
comparison,LU,1.75146e+08,4.10368e+08,2.35222e+08,0.401735
comparison,DE,8.67292e+08,7.85194e+08,-8.20985e+07,-0.0496818
comparison,CH,3.59156e+08,7.71732e+08,4.12576e+08,0.364825
comparison,IT,5.90423e+07,1.38884e+08,7.98416e+07,0.403391
comparison,MC,1.15702e+07,1.2121e+07,550789,0.0232487
comparison,ES,2.39429e+08,7.83733e+07,-1.61056e+08,-0.50678
comparison,AD,4.73091e+06,156829,-4.57408e+06,-0.935828
all,BE,1.80105e+09,2.18123e+09,3.80172e+08,0.0954659
all,LU,4.76308e+08,5.78977e+08,1.02669e+08,0.0972903
all,DE,2.10422e+09,1.26201e+09,-8.42209e+08,-0.250194
all,CH,9.73362e+08,1.59254e+09,6.19182e+08,0.241311
all,IT,1.40584e+08,1.99525e+08,5.89414e+07,0.173302
all,MC,4.39527e+07,3.20199e+07,-1.19328e+07,-0.157067
all,ES,5.67037e+08,1.20266e+08,-4.46771e+08,-0.650035
all,AD,6.89068e+06,197622,-6.69306e+06,-0.94424
