country,type,ownership,turnover_closed,gain_foreign,loss_domestic,net,n_shops,gain_pct,loss_pct,net_pct,net_per_shop
AD,city_centre,chain,1.0359e+08,1.9901e+07,-2.5334e+05,1.9648e+07,25,0.19211,-0.0024456,0.18967,7.8591e+05
AD,city_centre,independent,2.8847e+08,6.363e+07,-7.435e+05,6.2886e+07,103,0.22058,-0.0025774,0.218,6.1055e+05
BE,city_centre,chain,5.2127e+09,4.2116e+08,-5.9483e+08,-1.7367e+08,2100,0.080794,-0.11411,-0.033317,-82702
BE,city_centre,independent,1.1159e+10,1.0271e+09,-1.3043e+09,-2.7721e+08,7951,0.092037,-0.11688,-0.024841,-34865
BE,commercial_zone,chain,2.7843e+09,3.9835e+08,-3.7879e+08,1.9561e+07,962,0.14307,-0.13604,0.0070254,20334
BE,commercial_zone,independent,1.4645e+09,2.1842e+08,-2.0188e+08,1.6543e+07,843,0.14914,-0.13785,0.011296,19624
CH,city_centre,chain,8.7118e+09,4.3311e+08,-8.8328e+08,-4.5016e+08,1715,0.049715,-0.10139,-0.051673,-2.6249e+05
CH,city_centre,independent,1.572e+10,8.2545e+08,-1.6631e+09,-8.3763e+08,5651,0.052511,-0.1058,-0.053285,-1.4823e+05
CH,commercial_zone,chain,1.0693e+09,2.2386e+07,-5.1296e+07,-2.891e+07,253,0.020935,-0.047971,-0.027036,-1.1427e+05
CH,commercial_zone,independent,8.0017e+08,2.0358e+07,-4.8915e+07,-2.8557e+07,246,0.025442,-0.06113,-0.035689,-1.1608e+05
DE,city_centre,chain,8.2582e+09,1.2841e+09,-5.453e+08,7.3879e+08,2677,0.15549,-0.06603,0.089461,2.7598e+05
DE,city_centre,independent,1.5719e+10,2.2258e+09,-1.0893e+09,1.1365e+09,9004,0.1416,-0.0693,0.0723,1.2622e+05
DE,commercial_zone,chain,1.6162e+09,1.6276e+08,-6.9678e+07,9.3077e+07,715,0.1007,-0.043113,0.057591,1.3018e+05
DE,commercial_zone,independent,9.7297e+08,7.3558e+07,-3.9014e+07,3.4544e+07,539,0.075602,-0.040098,0.035504,64090
ES,city_centre,chain,1.5202e+09,1.1571e+08,-4.0134e+07,7.5572e+07,767,0.076111,-0.0264,0.049711,98530
ES,city_centre,independent,4.466e+09,4.0785e+08,-1.4755e+08,2.603e+08,5534,0.091323,-0.033038,0.058285,47036
ES,commercial_zone,chain,1.6761e+08,1.6167e+07,-4.0713e+06,1.2096e+07,163,0.096457,-0.024291,0.072166,74207
ES,commercial_zone,independent,1.461e+08,2.8118e+07,-3.8766e+06,2.4241e+07,130,0.19245,-0.026533,0.16592,1.8647e+05
FR,city_centre,chain,1.1145e+10,1.2038e+09,-1.1379e+09,6.5888e+07,4276,0.10801,-0.1021,0.0059117,15409
FR,city_centre,independent,2.5108e+10,2.6313e+09,-2.5943e+09,3.6953e+07,13324,0.1048,-0.10333,0.0014718,2773.4
FR,commercial_zone,chain,1.2842e+10,1.3645e+09,-1.5788e+09,-2.1432e+08,5508,0.10625,-0.12294,-0.016689,-38911
FR,commercial_zone,independent,5.8624e+09,7.6719e+08,-8.0063e+08,-3.3434e+07,3346,0.13087,-0.13657,-0.0057031,-9992.1
IT,city_centre,chain,1.2165e+09,2.3041e+07,-3.7431e+07,-1.439e+07,536,0.018941,-0.030769,-0.011829,-26847
IT,city_centre,independent,5.5331e+09,1.2359e+08,-1.6719e+08,-4.36e+07,3770,0.022337,-0.030217,-0.0078799,-11565
IT,commercial_zone,chain,3.001e+08,7.8752e+05,-1.3058e+06,-5.1829e+05,234,0.0026242,-0.0043512,-0.001727,-2214.9
IT,commercial_zone,independent,4.8185e+08,1.1655e+06,-2.2545e+06,-1.089e+06,201,0.0024187,-0.0046789,-0.0022601,-5418.1
LU,city_centre,chain,1.3009e+09,2.0401e+08,-2.9891e+08,-9.4905e+07,156,0.15683,-0.22978,-0.072955,-6.0836e+05
LU,city_centre,independent,3.0188e+09,4.6019e+08,-7.2424e+08,-2.6405e+08,562,0.15244,-0.23991,-0.087469,-4.6984e+05
LU,commercial_zone,chain,5.6484e+08,9.044e+07,-1.0616e+08,-1.572e+07,93,0.16012,-0.18795,-0.027831,-1.6903e+05
LU,commercial_zone,independent,9.6416e+08,1.4316e+08,-2.7358e+08,-1.3042e+08,217,0.14848,-0.28375,-0.13527,-6.0102e+05
MC,city_centre,chain,1.6578e+07,1.7846e+07,-1.1846e+07,6.0002e+06,11,1.0765,-0.71456,0.36193,5.4547e+05
MC,city_centre,independent,3.2069e+07,3.4047e+07,-2.4997e+07,9.0495e+06,53,1.0617,-0.77949,0.28219,1.7075e+05
