dest,name,type,country,nuts3,ownership,turnover_closed,gain_foreign,loss_domestic,net,n_shops,gain_pct,loss_pct,net_pct,net_per_shop
C1,Estella-Lizarra,city_centre,ES,ES220,chain,4.902e+05,0,-88.341,-88.341,4,0,-0.00018021,-0.00018021,-22.085
C1,Estella-Lizarra,city_centre,ES,ES220,independent,1.6135e+06,0,-6719.2,-6719.2,22,0,-0.0041644,-0.0041644,-305.42
C100,Lillers,city_centre,FR,FRE12,chain,1.6958e+07,1.2445e+05,-2.5946e+05,-1.3501e+05,4,0.0073388,-0.015301,-0.0079618,-33753
C100,Lillers,city_centre,FR,FRE12,independent,3.6951e+07,3.3439e+05,-7.2047e+05,-3.8607e+05,18,0.0090496,-0.019498,-0.010448,-21448
C101,Gravelines,city_centre,FR,FRE11,chain,1.6027e+07,4.4078e+05,-7.2154e+05,-2.8076e+05,4,0.027502,-0.04502,-0.017518,-70191
C101,Gravelines,city_centre,FR,FRE11,independent,2.6742e+07,9.666e+05,-1.3786e+06,-4.1196e+05,21,0.036145,-0.05155,-0.015405,-19617
C102,Grande-Synthe,city_centre,FR,FRE11,chain,1.4536e+07,9.2964e+05,-1.0053e+06,-75681,4,0.063955,-0.069162,-0.0052065,-18920
C102,Grande-Synthe,city_centre,FR,FRE11,independent,4.8788e+07,3.9284e+06,-3.8395e+06,88940,16,0.08052,-0.078697,0.001823,5558.7
C104,Dunkerque,city_centre,FR,FRE11,chain,1.7281e+08,1.8331e+07,-1.6168e+07,2.1627e+06,67,0.10608,-0.093561,0.012515,32280
C104,Dunkerque,city_centre,FR,FRE11,independent,5.0933e+08,5.3265e+07,-4.7279e+07,5.9864e+06,187,0.10458,-0.092826,0.011754,32013
C105,Santa Coloma de Farners,city_centre,ES,ES512,chain,6.972e+05,8173.8,-5078.3,3095.5,4,0.011724,-0.0072839,0.0044399,773.87
C105,Santa Coloma de Farners,city_centre,ES,ES512,independent,3.3103e+06,66652,-52212,14440,31,0.020135,-0.015772,0.0043622,465.81
C107,Salt,city_centre,ES,ES512,chain,6.1086e+06,1.6581e+05,-43275,1.2254e+05,7,0.027144,-0.0070842,0.02006,17506
C107,Salt,city_centre,ES,ES512,independent,1.7521e+07,7.1323e+05,-2.2235e+05,4.9088e+05,33,0.040706,-0.01269,0.028016,14875
C108,Gérone,city_centre,ES,ES512,chain,6.2228e+07,2.788e+06,-9.2294e+05,1.865e+06,67,0.044802,-0.014831,0.029971,27836
C108,Gérone,city_centre,ES,ES512,independent,2.8371e+08,1.9555e+07,-7.0552e+06,1.25e+07,666,0.068927,-0.024868,0.044059,18769
C109,Banyoles,city_centre,ES,ES512,chain,1.1826e+07,74664,-29029,45635,3,0.0063134,-0.0024546,0.0038588,15212
C109,Banyoles,city_centre,ES,ES512,independent,5.4209e+07,1.4933e+06,-7.4302e+05,7.5029e+05,84,0.027547,-0.013706,0.013841,8932
C110,Figueres,city_centre,ES,ES512,chain,6.0368e+07,6.1422e+06,-1.8781e+06,4.2641e+06,24,0.10175,-0.031111,0.070635,1.7767e+05
C110,Figueres,city_centre,ES,ES512,independent,3.0042e+08,3.7949e+07,-1.2265e+07,2.5684e+07,216,0.12632,-0.040826,0.085495,1.1891e+05
C111,Céret,city_centre,FR,FRJ15,chain,2.3105e+07,5.3569e+05,-1.9158e+06,-1.3802e+06,6,0.023185,-0.082919,-0.059734,-2.3003e+05
C111,Céret,city_centre,FR,FRJ15,independent,3.6345e+07,1.3414e+06,-3.3488e+06,-2.0074e+06,30,0.036906,-0.092137,-0.055231,-66913
C113,Thuir,city_centre,FR,FRJ15,chain,1.5738e+07,98570,-3.6225e+05,-2.6368e+05,5,0.0062633,-0.023018,-0.016755,-52737
C113,Thuir,city_centre,FR,FRJ15,independent,6.8411e+07,5.4819e+05,-1.8437e+06,-1.2955e+06,49,0.0080131,-0.02695,-0.018937,-26438
C115,Saint-Estève,city_centre,FR,FRJ15,chain,0,0,0,0,0,,,,
C115,Saint-Estève,city_centre,FR,FRJ15,independent,2.1606e+07,2.4176e+05,-6.3613e+05,-3.9437e+05,15,0.01119,-0.029443,-0.018253,-26291
C116,Perpignan,city_centre,FR,FRJ15,chain,1.7461e+08,1.5994e+06,-4.577e+06,-2.9776e+06,56,0.0091598,-0.026212,-0.017053,-53171
C116,Perpignan,city_centre,FR,FRJ15,independent,6.2566e+08,7.8854e+06,-2.1241e+07,-1.3356e+07,246,0.012603,-0.03395,-0.021346,-54291
C118,Rivesaltes,city_centre,FR,FRJ15,chain,9.4953e+06,33926,-1.3093e+05,-97008,3,0.0035729,-0.013789,-0.010216,-32336
C118,Rivesaltes,city_centre,FR,FRJ15,independent,2.7302e+07,1.4124e+05,-4.7922e+05,-3.3798e+05,20,0.0051734,-0.017553,-0.012379,-16899
