nuts3,ownership,turnover_closed,gain_foreign,loss_domestic,net,n_shops,gain_pct,loss_pct,net_pct,net_per_shop,name
FRC13,chain,3.0716e+05,0,-3795,-3795,6,0,-0.012355,-0.012355,-632.5,Saône-et-Loire
FRC13,independent,2.1934e+06,0,-27426,-27426,52,0,-0.012504,-0.012504,-527.43,Saône-et-Loire
FRC21,chain,7.0809e+08,4.646e+07,-3.4023e+07,1.2437e+07,470,0.065613,-0.048049,0.017564,26462,Doubs
FRC21,independent,8.9225e+08,7.908e+07,-5.5489e+07,2.3591e+07,769,0.08863,-0.06219,0.02644,30677,Doubs
FRC22,chain,1.4323e+08,6.8258e+06,-6.3264e+06,4.994e+05,114,0.047657,-0.04417,0.0034868,4380.7,Jura
FRC22,independent,2.5659e+08,3.5583e+06,-8.1779e+06,-4.6196e+06,289,0.013867,-0.031871,-0.018003,-15985,Jura
FRC23,chain,6.6713e+07,1.6163e+06,-2.2223e+06,-6.0602e+05,118,0.024227,-0.033311,-0.009084,-5135.8,Haute-Saône
FRC23,independent,8.9937e+07,2.3359e+06,-3.4492e+06,-1.1133e+06,205,0.025973,-0.038351,-0.012378,-5430.6,Haute-Saône
FRC24,chain,3.5915e+08,2.0077e+07,-2.3058e+07,-2.9815e+06,96,0.055901,-0.064203,-0.0083014,-31057,Territoire de Belfort
FRC24,independent,5.7661e+08,3.7355e+07,-4.258e+07,-5.2242e+06,190,0.064785,-0.073845,-0.0090603,-27496,Territoire de Belfort
FRE11,chain,6.4217e+09,8.1117e+08,-6.5317e+08,1.5799e+08,1695,0.12632,-0.10171,0.024603,93212,Nord
FRE11,independent,7.8038e+09,1.0734e+09,-8.3358e+08,2.3987e+08,2487,0.13755,-0.10682,0.030737,96448,Nord
FRE12,chain,1.6797e+09,3.5525e+07,-5.3938e+07,-1.8413e+07,640,0.021149,-0.032112,-0.010962,-28771,Pas-de-Calais
FRE12,independent,1.6716e+09,4.8908e+07,-7.4078e+07,-2.517e+07,819,0.029259,-0.044316,-0.015057,-30732,Pas-de-Calais
FRE21,chain,1.6542e+08,5.0999e+06,-6.3408e+06,-1.2408e+06,172,0.030831,-0.038332,-0.0075011,-7214,Aisne
FRE21,independent,1.5843e+08,4.6481e+06,-6.4543e+06,-1.8063e+06,210,0.029338,-0.040739,-0.011401,-8601.2,Aisne
FRE23,chain,6.4953e+06,1.5415e+05,-4.5891e+05,-3.0476e+05,25,0.023732,-0.070652,-0.04692,-12190,Somme
FRE23,independent,4.2243e+06,85398,-3.4553e+05,-2.6013e+05,29,0.020216,-0.081794,-0.061579,-8970,Somme
FRF11,chain,2.3119e+09,2.921e+08,-2.7546e+08,1.6639e+07,734,0.12634,-0.11915,0.0071972,22669,Bas-Rhin
FRF11,independent,3.5959e+09,4.3342e+08,-4.2949e+08,3.935e+06,1348,0.12053,-0.11944,0.0010943,2919.2,Bas-Rhin
FRF12,chain,1.5975e+09,2.1307e+08,-2.8998e+08,-7.6901e+07,407,0.13338,-0.18151,-0.048137,-1.8895e+05,Haut-Rhin
FRF12,independent,2.1037e+09,3.1992e+08,-3.942e+08,-7.4278e+07,666,0.15207,-0.18738,-0.035308,-1.1153e+05,Haut-Rhin
FRF21,chain,4.8975e+08,6.2554e+07,-3.9729e+07,2.2825e+07,125,0.12773,-0.081121,0.046605,1.826e+05,Ardennes
FRF21,independent,6.6689e+08,5.3047e+07,-3.4587e+07,1.8461e+07,194,0.079544,-0.051862,0.027681,95157,Ardennes
FRF31,chain,5.1177e+08,1.1021e+08,-1.5705e+08,-4.684e+07,391,0.21535,-0.30688,-0.091524,-1.1979e+05,Meurthe-et-Moselle 
FRF31,independent,2.2399e+08,3.8282e+07,-5.3955e+07,-1.5673e+07,653,0.17091,-0.24088,-0.069973,-24002,Meurthe-et-Moselle 
FRF32,chain,1.4971e+08,2.767e+06,-1.31e+07,-1.0333e+07,61,0.018483,-0.087506,-0.069023,-1.694e+05,Meuse 
FRF32,independent,8.0501e+07,7.4106e+05,-4.2768e+06,-3.5358e+06,46,0.0092056,-0.053128,-0.043922,-76865,Meuse 
FRF33,chain,2.397e+09,3.7238e+08,-6.6811e+08,-2.9573e+08,610,0.15535,-0.27872,-0.12337,-4.848e+05,Moselle
FRF33,independent,2.5552e+09,4.157e+08,-6.068e+08,-1.911e+08,820,0.16269,-0.23748,-0.074789,-2.3304e+05,Moselle
