segment,origin,dest_country,dest_type,eur
everyday,AD,AD,city_centre,2.66559e+08
everyday,AD,BE,city_centre,0
everyday,AD,BE,commercial_zone,0
everyday,AD,CH,city_centre,0
everyday,AD,CH,commercial_zone,0
everyday,AD,DE,city_centre,0
everyday,AD,DE,commercial_zone,0
everyday,AD,ES,city_centre,498731
everyday,AD,ES,commercial_zone,0
everyday,AD,FR,city_centre,7134.11
everyday,AD,FR,commercial_zone,33658.5
everyday,AD,IT,city_centre,0
everyday,AD,IT,commercial_zone,0
everyday,AD,LU,city_centre,0
everyday,AD,LU,commercial_zone,0
everyday,AD,MC,city_centre,0
everyday,BE,AD,city_centre,0
everyday,BE,BE,city_centre,9.24957e+09
everyday,BE,BE,commercial_zone,2.2263e+09
everyday,BE,CH,city_centre,0
everyday,BE,CH,commercial_zone,0
everyday,BE,DE,city_centre,3.34795e+06
everyday,BE,DE,commercial_zone,28001.5
everyday,BE,ES,city_centre,0
everyday,BE,ES,commercial_zone,0
everyday,BE,FR,city_centre,8.33206e+08
everyday,BE,FR,commercial_zone,3.05692e+08
everyday,BE,IT,city_centre,0
everyday,BE,IT,commercial_zone,0
everyday,BE,LU,city_centre,1.02018e+08
everyday,BE,LU,commercial_zone,3.77511e+07
everyday,BE,MC,city_centre,0
everyday,CH,AD,city_centre,0
everyday,CH,BE,city_centre,0
everyday,CH,BE,commercial_zone,0
everyday,CH,CH,city_centre,1.54627e+10
everyday,CH,CH,commercial_zone,1.05192e+09
everyday,CH,DE,city_centre,6.23991e+08
everyday,CH,DE,commercial_zone,3.75266e+07
everyday,CH,ES,city_centre,0
everyday,CH,ES,commercial_zone,0
everyday,CH,FR,city_centre,5.37261e+08
everyday,CH,FR,commercial_zone,2.8355e+08
everyday,CH,IT,city_centre,1.87741e+06
everyday,CH,IT,commercial_zone,0
everyday,CH,LU,city_centre,0
everyday,CH,LU,commercial_zone,0
everyday,CH,MC,city_centre,0
everyday,DE,AD,city_centre,0
everyday,DE,BE,city_centre,611709
everyday,DE,BE,commercial_zone,845624
everyday,DE,CH,city_centre,1.61475e+08
everyday,DE,CH,commercial_zone,3.59757e+06
everyday,DE,DE,city_centre,1.41986e+10
everyday,DE,DE,commercial_zone,1.55311e+09
everyday,DE,ES,city_centre,0
everyday,DE,ES,commercial_zone,0
everyday,DE,FR,city_centre,3.15646e+08
everyday,DE,FR,commercial_zone,1.61167e+08
everyday,DE,IT,city_centre,0
everyday,DE,IT,commercial_zone,0
everyday,DE,LU,city_centre,4.49218e+07
everyday,DE,LU,commercial_zone,1.06089e+07
everyday,DE,MC,city_centre,0
