rank,score,name,type,country,nuts3,nuts3_name,lon,lat,dist_border_km,population,area_ha,n_retail,n_comparison,everyday,personal,household,leisure,anchor,supermarkets,service,n_hospitality,n_markets,shop_types,diversity,comparison_share,hospitality_ratio,brand_share,mass_everyday,mass_comparison,quality,turnover_everyday,turnover_comparison,turnover,foreign,foreign_share
1,93.86,Lille,city_centre,FR,FRE11,Nord,3.064,50.64,12.41,2.367e+05,,887,622,222,398,88,136,6,12,211,903,1,109,42.73,0.7012,0.5045,0.3788,263,1012,0.8909,2.115e+09,1.478e+09,3.593e+09,5.518e+08,0.1535
2,92.03,Luxembourg,city_centre,LU,LU000,Luxembourg,6.13,49.61,11.83,1.223e+05,,476,344,115,246,46,52,4,14,114,437,3,92,34.34,0.7227,0.4786,0.2815,172,580.4,0.8657,1.483e+09,1.321e+09,2.804e+09,4.34e+08,0.1548
3,91.49,Gand,city_centre,BE,BE234,Arr. Gent,3.725,51.05,49.95,2.727e+05,,724,499,202,325,66,108,3,16,125,776,3,101,35.84,0.6892,0.5173,0.2072,265,776.1,0.8516,2.768e+08,3.403e+08,6.17e+08,5.073e+07,0.08222
4,90.98,Berne,city_centre,CH,CH021,Bern / Berne,7.452,46.95,50.01,1.288e+05,,594,410,154,249,79,82,7,24,154,408,5,103,42.88,0.6902,0.4072,0.3182,251,730.4,0.8442,4.23e+08,4.447e+08,8.677e+08,4.907e+06,0.005655
5,90.94,Bruxelles,city_centre,BE,BE100,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,4.352,50.85,59,1.943e+05,,1170,782,337,472,78,232,10,10,224,1055,6,111,38.22,0.6684,0.4742,0.1872,397,1303,0.8352,1.8e+08,4.829e+08,6.628e+08,2.538e+07,0.03829
6,90.79,Bâle,city_centre,CH,CH031,Basel-Stadt,7.588,47.56,2.057,1.745e+05,,617,407,184,239,76,92,5,33,181,488,3,95,41.32,0.6596,0.4416,0.3063,298,682.9,0.8402,1.706e+09,7.733e+08,2.48e+09,3.595e+08,0.145
7,90.63,Annecy,city_centre,FR,FRK28,Haute-Savoie,6.129,45.9,26.79,1.317e+05,,615,462,125,307,67,88,3,8,127,345,3,106,37.34,0.7512,0.3594,0.335,164,726.6,0.8391,6.501e+08,4.858e+08,1.136e+09,1.325e+08,0.1167
8,90.53,Strasbourg,city_centre,FR,FRF11,Bas-Rhin,7.751,48.58,3.702,2.913e+05,,917,575,292,380,69,126,5,18,200,773,3,119,43.91,0.627,0.4574,0.3381,361,924.7,0.8296,1.738e+09,1.052e+09,2.79e+09,3.981e+08,0.1427
9,90.35,Saint-Sébastien,city_centre,ES,ES212,Gipuzkoa,-1.984,43.32,16.33,1.85e+05,,780,542,208,350,111,81,4,33,141,585,4,101,38.23,0.6949,0.4286,0.1718,327,868.7,0.8283,7.273e+08,4.293e+08,1.157e+09,1.272e+08,0.11
10,90.1,Heidelberg,city_centre,DE,DE125,"Heidelberg, Stadtkreis",8.695,49.41,59.22,1.521e+05,,450,312,116,170,63,79,5,18,141,319,4,92,43.34,0.6933,0.4148,0.1956,190,544.3,0.8319,9.553e+07,1.735e+08,2.69e+08,9.009e+05,0.003349
