,tobacco_sales_gain_if_closed,fuel_sales_gain_if_closed
Ain,0.1203,3.613e-08
Aisne,0.1585,2.805e-07
Alpes-Maritimes,0.3491,-2.84e-07
Alpes-de-Haute-Provence,0.07973,-7.804e-08
Ardennes,0.3292,5.72e-07
Ariège,0.5636,3.697e-07
Bas-Rhin,0.3454,5.305e-07
Doubs,0.1762,2.08e-07
Haut-Rhin,0.291,4.003e-07
Haute-Garonne,0.3434,2.315e-07
Haute-Savoie,0.2186,-4.68e-07
Hautes-Alpes,0.1159,-3.026e-06
Hautes-Pyrénées,0.2849,2.142e-07
Jura,0.119,8.647e-08
Meurthe-et-Moselle,0.4228,7.28e-07
Meuse,0.3104,5.35e-07
Moselle,0.5342,9.017e-07
Nord,0.2519,4.564e-07
Pyrénées-Atlantiques,0.3331,2.799e-07
Pyrénées-Orientales,0.6253,4.719e-07
Savoie,0.1772,3.032e-08
Territoire de Belfort,0.2371,3.238e-07
