DEPARTEMENT_LIBELLE,observed_2020_vs_2019_net_of_control,model_annual,model_during_closure
Ain,-0.002672,6.14e-09,3.613e-08
Aisne,0.007738,4.767e-08,2.805e-07
Alpes-Maritimes,-0.04532,-4.825e-08,-2.84e-07
Alpes-de-Haute-Provence,0.02823,-1.326e-08,-7.804e-08
Ardennes,0.002383,9.72e-08,5.72e-07
Ariège,0.04285,6.283e-08,3.697e-07
Bas-Rhin,-0.05236,9.016e-08,5.305e-07
Doubs,-0.09758,3.534e-08,2.08e-07
Haut-Rhin,-0.04032,6.802e-08,4.003e-07
Haute-Garonne,-0.02043,3.934e-08,2.315e-07
Haute-Savoie,0.02479,-7.953e-08,-4.68e-07
Hautes-Alpes,0.05613,-5.142e-07,-3.026e-06
Hautes-Pyrénées,0.01792,3.641e-08,2.142e-07
Jura,-0.04601,1.469e-08,8.647e-08
Meurthe-et-Moselle,-0.03214,1.237e-07,7.28e-07
Meuse,-0.00231,9.092e-08,5.35e-07
Moselle,0.007319,1.532e-07,9.017e-07
Nord,0.03928,7.755e-08,4.564e-07
Pyrénées-Atlantiques,0.09046,4.757e-08,2.799e-07
Pyrénées-Orientales,0.03874,8.018e-08,4.719e-07
Savoie,0.02162,5.152e-09,3.032e-08
Territoire de Belfort,-0.2862,5.502e-08,3.238e-07
