product,neighbour,fr_residents_buying_there_popeq,their_residents_buying_in_fr_popeq,fr_share_of_national_consumption,eur_cigarettes_2020
tobacco,AD,6.4188e+05,0,0.0099958,1.8702e+08
tobacco,BE,1.0796e+06,0,0.016812,3.1455e+08
tobacco,CH,22.66,0,3.5287e-07,6602.1
tobacco,DE,9.1228e+05,0,0.014207,2.658e+08
tobacco,ES,8.6437e+05,0,0.013461,2.5184e+08
tobacco,IT,1.2161e+06,0,0.018937,3.5431e+08
tobacco,LU,1.108e+06,0,0.017254,3.2282e+08
tobacco,MC,0,0,0,0
fuel,AD,0.46232,0,7.1996e-09,
fuel,BE,2.5238,0,3.9302e-08,
fuel,CH,6.9133e-05,0,1.0766e-12,
fuel,DE,1.7373,0,2.7054e-08,
fuel,ES,1.0247,0,1.5958e-08,
fuel,IT,0,1.1395,0,
fuel,LU,2.3397,0,3.6435e-08,
fuel,MC,0,0,0,
