geo,time,P31_S14_DC,P31_S14_NC,P33,P34,out_pct,in_pct,net_pct,country
AT,2023,245043.900,236916.900,11969.700,20096.700,5.052,8.201,3.430,Austria
BE,2023,292676.900,304657.800,19790.300,7809.400,6.496,2.668,-3.933,Belgium
BG,2023,56163.100,54058.300,2278.500,4383.300,4.215,7.805,3.894,Bulgaria
CH,2023,400937.200,400179.600,19017.200,19774.800,4.752,4.932,0.189,Switzerland
CY,2023,20253.300,18512.300,1507.400,3248.400,8.143,16.039,9.405,Cyprus
CZ,2023,151006.400,147829.400,3986.700,7163.700,2.697,4.744,2.149,Czechia
DE,2023,2105457.000,2159326.000,85806.000,31937.000,3.974,1.517,-2.495,Germany
DK,2023,165172.100,162425.500,7247.200,9993.800,4.462,6.051,1.691,Denmark
EE,2023,20095.600,19892.400,1136.700,1339.900,5.714,6.668,1.021,Estonia
EL,2023,170686.000,152523.900,2431.700,20593.800,1.594,12.065,11.908,Greece
ES,2023,864978.000,813292.000,20108.000,71794.000,2.472,8.300,6.355,Spain
FI,2023,134509.000,134918.000,4168.000,3759.000,3.089,2.795,-0.303,Finland
FR,2023,1496572.900,1482482.900,51768.000,65858.000,3.492,4.401,0.950,France
HR,2023,56619.000,43842.600,1642.700,14419.200,3.747,25.467,29.142,Croatia
HU,2023,96477.800,92625.400,3145.500,6997.900,3.396,7.253,4.159,Hungary
IE,2023,134716.400,138355.900,9494.500,5854.900,6.862,4.346,-2.631,Ireland
IS,2023,14878.000,13612.700,1325.600,2590.900,9.738,17.414,9.295,Iceland
IT,2023,1246965.300,1220658.000,25384.200,51691.500,2.080,4.145,2.155,Italy
LT,2023,41485.500,41489.300,1161.200,1157.400,2.799,2.790,-0.009,Lithuania
LU,2023,27240.700,25139.700,3932.200,6033.100,15.641,22.147,8.357,Luxembourg
LV,2023,22575.100,22528.200,1133.200,1180.100,5.030,5.227,0.208,Latvia
MT,2023,10772.600,9315.000,524.400,1982.000,5.630,18.399,15.648,Malta
NL,2023,461936.000,463145.000,20456.000,19247.000,4.417,4.167,-0.261,Netherlands
NO,2023,150039.900,158570.200,14259.200,5728.900,8.992,3.818,-5.380,Norway
PL,2023,426504.000,425817.500,7171.400,7857.900,1.684,1.842,0.161,Poland
PT,2023,181615.500,162272.300,4963.100,24306.300,3.059,13.383,11.920,Portugal
RO,2023,192125.400,195414.500,6211.800,2922.600,3.179,1.521,-1.683,Romania
SE,2023,236134.400,237262.100,10630.100,9502.400,4.480,4.024,-0.475,Sweden
SI,2023,33564.300,32302.400,2032.200,3294.100,6.291,9.814,3.907,Slovenia
SK,2023,68307.800,70572.800,3846.800,1581.800,5.451,2.316,-3.209,Slovakia
