country,LDS,OUT,LDC,NDL,CC,TOT,legal_inflow_pct,cc_pct,outflow_pct_of_sales,net_legal_pct
Albania,3.090,-0.260,2.830,0.080,0.100,3.010,2.658,3.322,8.414,5.980
Austria,11.220,-0.570,10.650,0.900,0.520,12.070,7.457,4.308,5.080,-2.734
Belgium,6.800,-0.610,6.180,1.060,1.310,8.550,12.398,15.322,8.971,-5.263
Bosnia and Herzegovina,4.890,-0.270,4.620,0.040,0.110,4.770,0.839,2.306,5.521,4.822
Bulgaria,18.010,-2.220,15.790,0.120,0.220,16.130,0.744,1.364,12.326,13.019
Croatia,7.010,-0.630,6.370,0.070,0.340,6.780,1.032,5.015,8.987,8.260
Cyprus,0.890,-0.180,0.710,0.090,0.130,0.930,9.677,13.978,20.225,9.677
Czech Republic,11.970,-1.890,10.090,1.120,0.980,12.190,9.188,8.039,15.789,6.317
Denmark,3.610,-0.170,3.440,0.260,0.280,3.980,6.533,7.035,4.709,-2.261
Estonia,1.230,-0.260,0.970,0.060,0.070,1.100,5.455,6.364,21.138,18.182
Finland,2.280,-0.020,2.270,0.210,0.600,3.080,6.818,19.481,0.877,-6.169
France,25.550,-0.330,25.220,5.910,18.740,49.870,11.851,37.578,1.292,-11.189
Germany,64.520,-1.440,63.090,10.990,1.650,75.730,14.512,2.179,2.232,-12.611
Greece,11.900,-0.560,11.330,0.300,2.480,14.110,2.126,17.576,4.706,1.843
Hungary,5.650,-0.140,5.510,0.170,0.880,6.560,2.591,13.415,2.478,-0.457
Ireland,1.780,-0.020,1.760,0.570,1.070,3.400,16.765,31.471,1.124,-16.176
Italy,58.720,-1.070,57.640,1.060,1.090,59.790,1.773,1.823,1.822,0.017
Kosovo,3.690,-0.520,3.160,0.040,0.070,3.270,1.223,2.141,14.092,14.679
Latvia,1.650,-0.140,1.510,0.020,0.340,1.870,1.070,18.182,8.485,6.417
Lithuania,2.030,-0.120,1.910,0.180,0.510,2.600,6.923,19.615,5.911,-2.308
Luxembourg,5.080,-4.470,0.610,0.030,0.010,0.650,4.615,1.538,87.992,683.077
Malta,0.630,-0.050,0.580,0.040,0.030,0.650,6.154,4.615,7.937,1.538
Moldova,2.700,-0.250,2.450,0.020,0.010,2.480,0.806,0.403,9.259,9.274
Montenegro,1.220,-0.030,1.190,0.010,0.110,1.310,0.763,8.397,2.459,1.527
Netherlands,6.730,-0.210,6.520,2.260,1.910,10.690,21.141,17.867,3.120,-19.177
North Macedonia,3.420,-0.320,3.100,0.010,0.200,3.310,0.302,6.042,9.357,9.366
Norway,1.350,-0.030,1.320,0.480,0.350,2.150,22.326,16.279,2.222,-20.930
Poland,49.910,-8.680,41.240,0.480,1.850,43.570,1.102,4.246,17.391,18.820
Portugal,8.740,-0.490,8.250,0.080,0.200,8.530,0.938,2.345,5.606,4.807
Romania,26.150,-2.240,23.910,0.590,1.550,26.050,2.265,5.950,8.566,6.334
Serbia,10.080,-0.500,9.580,0.160,0.140,9.880,1.619,1.417,4.960,3.441
Slovakia,5.590,-0.290,5.290,0.130,0.300,5.720,2.273,5.245,5.188,2.797
Slovenia,2.880,-0.600,2.280,0.140,0.160,2.580,5.426,6.202,20.833,17.829
Spain,42.950,-4.360,38.590,1.060,1.350,41.000,2.585,3.293,10.151,8.049
Sweden,4.280,-0.410,3.870,0.250,0.380,4.500,5.556,8.444,9.579,3.556
Switzerland,7.780,-0.230,7.560,0.780,0.300,8.640,9.028,3.472,2.956,-6.366
Ukraine,31.620,-0.390,31.240,5.980,,,,,1.233,
UK,14.700,-0.270,14.430,2.840,5.940,23.210,12.236,25.592,1.837,-11.073
