country,nuts3,name,residents_in_zone,spend_everyday_eur,abroad_everyday_share,spend_comparison_eur,abroad_comparison_share,destinations,inflow_from_abroad_eur,outflow_abroad_eur,net_eur
AD,AD,Andorra,8.501e+04,2.671e+08,0.00202,1.25e+08,0.00366,4,8.353e+07,9.968e+05,8.253e+07
BE,BE231,Arr. Aalst,5.527e+04,2.141e+08,0.01627,1.319e+08,0.0748,11,2.196e+07,1.335e+07,8.609e+06
BE,BE234,Arr. Gent,1.443e+05,5.588e+08,0.04309,3.444e+08,0.1051,18,1.376e+08,6.027e+07,7.738e+07
BE,BE235,Arr. Oudenaarde,1.224e+05,4.74e+08,0.05899,2.921e+08,0.1322,4,2.238e+07,6.66e+07,-4.422e+07
BE,BE241,Arr. Halle-Vilvoorde,4.762e+04,1.844e+08,0.007852,1.137e+08,0.05035,15,2.667e+07,7.171e+06,1.95e+07
BE,BE251,Arr. Brugge,9.171e+04,3.552e+08,0.04183,2.189e+08,0.1247,8,5.545e+07,4.217e+07,1.329e+07
BE,BE252,Arr. Diksmuide,6.768e+04,2.621e+08,0.09145,1.616e+08,0.208,1,4.967e+06,5.758e+07,-5.261e+07
BE,BE253,Arr. Ieper,1.513e+05,5.86e+08,0.3917,3.611e+08,0.3816,4,5.237e+07,3.674e+08,-3.15e+08
BE,BE254,Arr. Kortrijk,3.054e+05,1.183e+09,0.2328,7.29e+08,0.2593,6,2.36e+08,4.644e+08,-2.283e+08
BE,BE255,Arr. Oostende,1.379e+05,5.34e+08,0.01964,3.291e+08,0.09533,6,4.18e+07,4.187e+07,-6.847e+04
BE,BE256,Arr. Roeselare,1.181e+05,4.575e+08,0.09597,2.819e+08,0.1858,5,1.031e+08,9.629e+07,6.859e+06
BE,BE257,Arr. Tielt,5.012e+04,1.941e+08,0.05344,1.196e+08,0.1276,1,9.003e+06,2.564e+07,-1.664e+07
BE,BE258,Arr. Veurne,4.352e+04,1.686e+08,0.1438,1.039e+08,0.2562,3,5.443e+07,5.085e+07,3.583e+06
BE,BE310,Arr. Nivelles,8.904e+04,3.449e+08,0.003251,2.125e+08,0.0275,22,3.001e+07,6.966e+06,2.304e+07
BE,BE323,Arr. Mons,2.958e+05,1.146e+09,0.07589,7.06e+08,0.158,13,2.749e+08,1.985e+08,7.645e+07
BE,BE328,Arr. Tournai-Mouscron,1.721e+05,6.664e+08,0.2801,4.107e+08,0.3282,6,3.147e+08,3.215e+08,-6.755e+06
BE,BE329,Arr. La Louvière,1.833e+05,7.099e+08,0.01293,4.375e+08,0.05388,14,1.075e+08,3.275e+07,7.475e+07
BE,BE32A,Arr. Ath,7.16e+04,2.773e+08,0.06086,1.709e+08,0.1509,2,1.644e+07,4.267e+07,-2.623e+07
BE,BE32B,Arr. Charleroi,4.306e+05,1.668e+09,0.003602,1.028e+09,0.02293,9,4.853e+07,2.957e+07,1.896e+07
BE,BE32C,Arr. Soignies,5.065e+04,1.962e+08,0.00897,1.209e+08,0.05083,1,9.277e+06,7.905e+06,1.372e+06
BE,BE32D,Arr. Thuin,7.43e+04,2.878e+08,0.1023,1.774e+08,0.1071,1,1.064e+07,4.842e+07,-3.778e+07
BE,BE331,Arr. Huy,3444,1.334e+07,0.0009567,8.221e+06,0.001871,10,6.963e+05,2.814e+04,6.681e+05
BE,BE341,Arr. Arlon,6.984e+04,2.705e+08,0.4327,1.667e+08,0.6209,5,3.22e+08,2.205e+08,1.015e+08
BE,BE342,Arr. Bastogne,8819,3.416e+07,0.131,2.105e+07,0.3887,1,1.018e+07,1.266e+07,-2.481e+06
BE,BE343,Arr. Marche-en-Famenne,3.258e+04,1.262e+08,0.003714,7.776e+07,0.01608,2,7.528e+05,1.719e+06,-9.665e+05
BE,BE344,Arr. Neufchâteau,6.764e+04,2.62e+08,0.156,1.615e+08,0.3108,3,9.073e+06,9.106e+07,-8.198e+07
BE,BE345,Arr. Virton,4.68e+04,1.813e+08,0.2905,1.117e+08,0.5356,1,3.789e+07,1.125e+08,-7.459e+07
BE,BE351,Arr. Dinant,1.086e+05,4.207e+08,0.05461,2.593e+08,0.03904,6,2.12e+07,3.31e+07,-1.19e+07
BE,BE352,Arr. Namur,2.05e+05,7.938e+08,0.000944,4.892e+08,0.004833,9,1.529e+07,3.114e+06,1.217e+07
BE,BE353,Arr. Philippeville,4.876e+04,1.888e+08,0.08031,1.164e+08,0.07025,1,5.857e+06,2.334e+07,-1.749e+07
CH,CH011,Vaud,9.44e+05,5.276e+09,0.02435,2.434e+09,0.0606,29,1.031e+08,2.76e+08,-1.729e+08
CH,CH012,Valais / Wallis,1.69e+05,9.447e+08,0.005979,4.358e+08,0.0189,7,3.743e+06,1.388e+07,-1.014e+07
CH,CH013,Genève,4.948e+05,2.766e+09,0.1754,1.276e+09,0.313,6,5.052e+08,8.844e+08,-3.793e+08
CH,CH021,Bern / Berne,4.46e+05,2.493e+09,0.008634,1.15e+09,0.03361,17,1.966e+07,6.016e+07,-4.05e+07
CH,CH022,Fribourg / Freiburg,1.139e+05,6.365e+08,0.00103,2.936e+08,0.006966,3,5.933e+05,2.701e+06,-2.108e+06
CH,CH023,Solothurn,3.462e+05,1.935e+09,0.08144,8.925e+08,0.1553,8,7.019e+07,2.962e+08,-2.26e+08
CH,CH024,Neuchâtel,1.539e+05,8.604e+08,0.0398,3.968e+08,0.03841,4,3.87e+07,4.949e+07,-1.079e+07
CH,CH025,Jura,6.82e+04,3.811e+08,0.1023,1.758e+08,0.2302,2,2.614e+07,7.947e+07,-5.333e+07
CH,CH031,Basel-Stadt,2.774e+05,1.55e+09,0.2027,7.151e+08,0.3175,5,4.031e+08,5.413e+08,-1.383e+08
CH,CH032,Basel-Landschaft,1.36e+05,7.599e+08,0.2238,3.505e+08,0.273,4,6.44e+07,2.657e+08,-2.013e+08
CH,CH033,Aargau,7.096e+04,3.966e+08,0.3216,1.829e+08,0.2715,12,5.906e+07,1.772e+08,-1.181e+08
DE,DE121,"Baden-Baden, Stadtkreis",1.147e+05,4.131e+08,0.03086,2.54e+08,0.1272,1,2.25e+07,4.505e+07,-2.255e+07
DE,DE122,"Karlsruhe, Stadtkreis",3.979e+05,1.433e+09,0.002013,8.813e+08,0.03227,6,6.554e+07,3.132e+07,3.422e+07
DE,DE123,"Karlsruhe, Landkreis",3.9e+05,1.405e+09,0.001619,8.638e+08,0.02202,9,4.967e+06,2.13e+07,-1.633e+07
DE,DE124,Rastatt,1.67e+05,6.017e+08,0.03014,3.7e+08,0.1178,7,6.027e+07,6.171e+07,-1.441e+06
DE,DE129,"Pforzheim, Stadtkreis",1.58e+05,5.693e+08,0.0004929,3.501e+08,0.01853,1,5.448e+06,6.768e+06,-1.32e+06
DE,DE12A,Calw,2.464e+04,8.874e+07,6.061e-05,5.457e+07,0.005817,5,5.349e+04,3.228e+05,-2.693e+05
DE,DE12B,Enzkreis,4.241e+04,1.528e+08,0.0005133,9.394e+07,0.01483,1,1.838e+05,1.472e+06,-1.288e+06
DE,DE12C,Freudenstadt,1.95e+04,7.023e+07,0.008165,4.319e+07,0.0773,4,1.067e+06,3.912e+06,-2.845e+06
DE,DE131,"Freiburg im Breisgau, Stadtkreis",2.976e+05,1.072e+09,0.01317,6.592e+08,0.09933,3,1.995e+08,7.96e+07,1.199e+08
DE,DE132,Breisgau-Hochschwarzwald,2.05e+05,7.383e+08,0.07265,4.54e+08,0.193,11,1.556e+08,1.413e+08,1.438e+07
DE,DE133,Emmendingen,1.474e+05,5.31e+08,0.02246,3.265e+08,0.1219,7,6.181e+07,5.174e+07,1.008e+07
DE,DE134,Ortenaukreis,4.074e+05,1.467e+09,0.1404,9.023e+08,0.2496,12,3.688e+08,4.313e+08,-6.245e+07
DE,DE136,Schwarzwald-Baar-Kreis,1854,6.678e+06,0.001063,4.107e+06,0.03315,8,1.433e+05,1.432e+05,41.66
DE,DE139,Lörrach,2.352e+05,8.473e+08,0.2016,5.21e+08,0.3164,7,9.544e+08,3.357e+08,6.187e+08
DE,DE13A,Waldshut,4.896e+04,1.763e+08,0.08129,1.084e+08,0.2481,7,2.172e+08,4.123e+07,1.759e+08
DE,DEB21,"Trier, Kreisfreie Stadt",1.257e+05,4.526e+08,0.02143,2.783e+08,0.118,3,4.03e+08,4.253e+07,3.605e+08
DE,DEB23,Eifelkreis Bitburg-Prüm,5617,2.023e+07,0.3347,1.244e+07,0.289,2,1.123e+07,1.037e+07,8.615e+05
DE,DEB25,Trier-Saarburg,8.408e+04,3.029e+08,0.07436,1.862e+08,0.1591,1,2.261e+07,5.215e+07,-2.955e+07
DE,DEB32,"Kaiserslautern, Kreisfreie Stadt",1.065e+05,3.836e+08,0.0007831,2.359e+08,0.007414,3,1.106e+07,2.049e+06,9.007e+06
DE,DEB33,"Landau in der Pfalz, Kreisfreie Stadt",7.813e+04,2.814e+08,0.01161,1.731e+08,0.0374,2,1.205e+07,9.742e+06,2.31e+06
DE,DEB36,"Neustadt an der Weinstraße, Kreisfreie Stadt",7.222e+04,2.601e+08,0.001822,1.6e+08,0.01661,3,4.01e+06,3.132e+06,8.781e+05
DE,DEB37,"Pirmasens, Kreisfreie Stadt",5.42e+04,1.952e+08,0.006111,1.2e+08,0.02017,3,8.971e+06,3.614e+06,5.357e+06
DE,DEB38,"Speyer, Kreisfreie Stadt",1.676e+04,6.038e+07,0.0002143,3.713e+07,0.002742,3,1.727e+05,1.148e+05,5.795e+04
DE,DEB3A,"Zweibrücken, Kreisfreie Stadt",5.073e+04,1.827e+08,0.01151,1.124e+08,0.04062,3,3.846e+07,6.667e+06,3.18e+07
DE,DEB3C,Bad Dürkheim,5735,2.066e+07,0.0008361,1.27e+07,0.005707,4,1.433e+06,8.977e+04,1.343e+06
