segment,neighbour,fr_to_nb_eur,nb_to_fr_eur,net_for_france_eur,balance_index,theta_scale,gamma
all,BE,9.45419e+08,1.3508e+09,4.05381e+08,0.176543,0.5,0
all,LU,3.26819e+08,2.92369e+08,-3.44495e+07,-0.0556366,0.5,0
all,DE,1.15562e+09,7.47583e+08,-4.08035e+08,-0.214394,0.5,0
all,CH,9.20016e+08,5.38461e+08,-3.81554e+08,-0.261612,0.5,0
all,IT,6.73801e+07,1.28186e+08,6.0806e+07,0.310923,0.5,0
all,MC,2.32767e+07,2.65935e+07,3.31682e+06,0.0665091,0.5,0
all,ES,2.74579e+08,8.41909e+07,-1.90388e+08,-0.53067,0.5,0
all,AD,3.94769e+06,123928,-3.82377e+06,-0.939126,0.5,0
all,BE,1.00799e+09,1.27678e+09,2.68798e+08,0.117648,0.5,2
all,LU,2.93339e+08,3.40499e+08,4.71601e+07,0.0744039,0.5,2
all,DE,1.30326e+09,6.97548e+08,-6.05714e+08,-0.302734,0.5,2
all,CH,5.69526e+08,8.97264e+08,3.27737e+08,0.223438,0.5,2
all,IT,7.95622e+07,1.14657e+08,3.50949e+07,0.180697,0.5,2
all,MC,2.30468e+07,2.62577e+07,3.21089e+06,0.0651237,0.5,2
all,ES,3.53004e+08,6.28794e+07,-2.90124e+08,-0.69761,0.5,2
all,AD,4.55899e+06,99791.4,-4.4592e+06,-0.95716,0.5,2
all,BE,1.04081e+09,1.2411e+09,2.0029e+08,0.0877733,0.5,3
all,LU,2.78313e+08,3.67181e+08,8.88677e+07,0.137674,0.5,3
all,DE,1.38448e+09,6.75825e+08,-7.08653e+08,-0.343956,0.5,3
all,CH,4.41795e+08,1.14354e+09,7.01747e+08,0.442648,0.5,3
all,IT,8.67617e+07,1.08826e+08,2.20647e+07,0.112812,0.5,3
all,MC,2.29125e+07,2.60562e+07,3.14377e+06,0.0641995,0.5,3
all,ES,3.99044e+08,5.44781e+07,-3.44566e+08,-0.759756,0.5,3
all,AD,4.90202e+06,90200.4,-4.81181e+06,-0.963864,0.5,3
all,BE,1.33798e+09,1.85394e+09,5.15967e+08,0.161648,0.75,0
all,LU,4.36249e+08,4.08713e+08,-2.75355e+07,-0.0325878,0.75,0
all,DE,1.54832e+09,1.05654e+09,-4.91782e+08,-0.188794,0.75,0
all,CH,1.2387e+09,7.76772e+08,-4.61928e+08,-0.229191,0.75,0
all,IT,9.47331e+07,1.7771e+08,8.29771e+07,0.304566,0.75,0
all,MC,3.41576e+07,3.02409e+07,-3.91676e+06,-0.0608207,0.75,0
all,ES,3.69233e+08,1.22814e+08,-2.46419e+08,-0.500804,0.75,0
all,AD,5.13962e+06,184903,-4.95472e+06,-0.930547,0.75,0
all,BE,1.42382e+09,1.7592e+09,3.35374e+08,0.105364,0.75,2
all,LU,3.92819e+08,4.68911e+08,7.60917e+07,0.088301,0.75,2
all,DE,1.73799e+09,9.92391e+08,-7.45601e+08,-0.273076,0.75,2
all,CH,7.8419e+08,1.26447e+09,4.80279e+08,0.234436,0.75,2
all,IT,1.11279e+08,1.59709e+08,4.84301e+07,0.178717,0.75,2
all,MC,3.37173e+07,2.97802e+07,-3.93715e+06,-0.0620048,0.75,2
all,ES,4.683e+08,9.21227e+07,-3.76177e+08,-0.671238,0.75,2
all,AD,5.85441e+06,148947,-5.70547e+06,-0.950379,0.75,2
all,BE,1.46871e+09,1.71331e+09,2.44591e+08,0.0768666,0.75,3
all,LU,3.73108e+08,5.01429e+08,1.28322e+08,0.146731,0.75,3
all,DE,1.84077e+09,9.63882e+08,-8.76893e+08,-0.312656,0.75,3
all,CH,6.13741e+08,1.58728e+09,9.73537e+08,0.442312,0.75,3
all,IT,1.21006e+08,1.51872e+08,3.08659e+07,0.113113,0.75,3
all,MC,3.34626e+07,2.95039e+07,-3.9587e+06,-0.0628699,0.75,3
all,ES,5.25882e+08,7.99485e+07,-4.45933e+08,-0.73607,0.75,3
all,AD,6.24957e+06,134649,-6.11492e+06,-0.957818,0.75,3
all,BE,1.69526e+09,2.29195e+09,5.9669e+08,0.149651,1,0
all,LU,5.27598e+08,5.10956e+08,-1.66423e+07,-0.0160245,1,0
all,DE,1.88036e+09,1.33692e+09,-5.43438e+08,-0.168912,1,0
all,CH,1.51031e+09,9.98455e+08,-5.11851e+08,-0.204025,1,0
all,IT,1.2014e+08,2.21221e+08,1.0108e+08,0.29611,1,0
all,MC,4.46399e+07,3.25735e+07,-1.20664e+07,-0.156274,1,0
all,ES,4.51339e+08,1.59682e+08,-2.91657e+08,-0.477328,1,0
all,AD,6.10863e+06,245237,-5.86339e+06,-0.922807,1,0
all,BE,1.80105e+09,2.18123e+09,3.80172e+08,0.0954659,1,2
all,LU,4.76308e+08,5.78977e+08,1.02669e+08,0.0972903,1,2
all,DE,2.10422e+09,1.26201e+09,-8.42209e+08,-0.250194,1,2
all,CH,9.73362e+08,1.59254e+09,6.19182e+08,0.241311,1,2
all,IT,1.40584e+08,1.99525e+08,5.89414e+07,0.173302,1,2
all,MC,4.39527e+07,3.20199e+07,-1.19328e+07,-0.157067,1,2
all,ES,5.67037e+08,1.20266e+08,-4.46771e+08,-0.650035,1,2
