border,side,residents,shops,shops_per_1000,comparison_share
BE,France,2596886.0000,7783,2.9971,0.5199
BE,Neighbour,1709069.0000,6460,3.7798,0.5591
LU,France,291334.0000,488,1.6751,0.5492
LU,Neighbour,459355.0000,1642,3.5746,0.6194
DE,France,1722049.0000,5373,3.1201,0.5336
DE,Neighbour,2850159.0000,11481,4.0282,0.5385
CH,France,1105999.0000,4813,4.3517,0.5277
CH,Neighbour,2161136.0000,8338,3.8582,0.5056
IT,France,669487.0000,4054,6.0554,0.5661
IT,Neighbour,243708.0000,1847,7.5787,0.5046
ES,France,382520.0000,2591,6.7735,0.4523
ES,Neighbour,649949.0000,3748,5.7666,0.5486
