code,LAU_NAME,dist_km,neighbour,band,pop,fuel,large_food,non_food,small_food,est24,emp24,emp12,est12,emp24_big,tobacconists
02022,Arcy-Sainte-Restitue,93.59202960138163,Belgium,75–100,396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02023,Armentières-sur-Ourcq,104.97516949577837,Belgium,,96.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0
02024,Arrancy,59.4775611916534,Belgium,50–75,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02025,Artemps,70.49547749630784,Belgium,50–75,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02027,Assis-sur-Serre,53.96827209883001,Belgium,50–75,209.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02028,Athies-sous-Laon,55.778108075897144,Belgium,50–75,2578.0,0.0,0.0,1.0,6.0,3.0,32.0,25.0,3.0,0.0,1.0
02029,Attilly,63.76409770435784,Belgium,50–75,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02030,Aubencheul-aux-Bois,44.69427495246981,Belgium,30–50,238.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02031,Aubenton,14.674620223884999,Belgium,10–20,658.0,0.0,0.0,2.0,2.0,0.0,0.0,9.0,3.0,0.0,1.0
02032,Aubigny-aux-Kaisnes,72.56548133029393,Belgium,50–75,231.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02033,Aubigny-en-Laonnois,58.78713746125015,Belgium,50–75,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02034,Audignicourt,91.87301710759621,Belgium,75–100,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02035,Audigny,38.296207355275875,Belgium,30–50,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02036,Augy,84.298016690026,Belgium,75–100,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02037,Aulnois-sous-Laon,55.43764547420932,Belgium,50–75,1348.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0
02038,Les Autels,21.951233986665006,Belgium,20–30,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02039,Autremencourt,39.283215115776834,Belgium,30–50,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02040,Autreppes,22.50596795986384,Belgium,20–30,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02041,Autreville,78.3350614085126,Belgium,75–100,777.0,1.0,1.0,3.0,0.0,1.0,45.0,49.0,2.0,45.0,1.0
02042,Azy-sur-Marne,121.13605191399782,Belgium,,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02043,Bagneux,84.77591801993111,Belgium,75–100,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02044,Bancigny,20.800184685651967,Belgium,20–30,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02046,Barenton-Bugny,51.87499573979835,Belgium,50–75,555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02047,Barenton-Cel,51.67652140653134,Belgium,50–75,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02048,Barenton-sur-Serre,47.261209040430465,Belgium,30–50,130.0,0.0,0.0,1.0,0.0,2.0,6.0,6.0,1.0,0.0,0.0
02049,Barisis-aux-Bois,73.5663623580473,Belgium,50–75,752.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0
02050,Barzy-en-Thiérache,27.927412650703932,Belgium,20–30,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03012,Autry-Issards,222.5040495558665,Switzerland,,313.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03013,Avermes,208.1207027828096,Switzerland,,4074.0,3.0,3.0,19.0,11.0,29.0,660.0,369.0,17.0,478.0,2.0
03014,Avrilly,155.10666128033083,Switzerland,,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03015,Bagneux,218.21062710204652,Switzerland,,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03016,Barberier,209.67456174177187,Switzerland,,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03017,Barrais-Bussolles,174.0525334575158,Switzerland,,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03018,Bayet,207.41103076064093,Switzerland,,672.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03019,Beaulon,181.46826349421943,Switzerland,,1649.0,0.0,1.0,4.0,2.0,4.0,9.0,8.0,4.0,1.0,1.0
03020,Beaune-d'Allier,237.48706871127928,Switzerland,,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03021,Bègues,217.83363560131022,Switzerland,,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03277,Target,225.1155533598726,Switzerland,,244.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
03278,Taxat-Senat,216.98371431293802,Switzerland,,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03279,Teillet-Argenty,266.07705074288316,Switzerland,,555.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
03280,Terjat,258.0255949300335,Switzerland,,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
03281,Le Theil,219.41939288856508,Switzerland,,387.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
03282,Theneuille,241.42608132040047,Switzerland,,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
03283,Thiel-sur-Acolin,187.31815404985645,Switzerland,,1027.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0
02051,Barzy-sur-Marne,106.68556191971541,Belgium,,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02052,Bassoles-Aulers,73.69311400439236,Belgium,50–75,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02053,Vallées en Champagne,113.99330828221157,Belgium,,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02054,Bazoches-et-Saint-Thibaut,84.59887752710303,Belgium,75–100,516.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02055,Beaumé,15.661772124979171,Belgium,10–20,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02056,Beaumont-en-Beine,79.52572022071728,Belgium,75–100,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02057,Beaurevoir,43.27156473524,Belgium,30–50,1281.0,0.0,0.0,0.0,2.0,4.0,14.0,4.0,2.0,0.0,1.0
02058,Beaurieux,70.09630211620347,Belgium,50–75,794.0,0.0,0.0,1.0,4.0,2.0,8.0,6.0,3.0,0.0,1.0
02059,Beautor,68.00114512788066,Belgium,50–75,2579.0,1.0,1.0,1.0,3.0,4.0,10.0,12.0,5.0,0.0,2.0
02060,Beauvois-en-Vermandois,67.54354430839554,Belgium,50–75,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02061,Becquigny,36.4765264728188,Belgium,30–50,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02062,Belleau,116.33818249034182,Belgium,,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02063,Bellenglise,53.83996308800618,Belgium,50–75,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
02064,Belleu,89.9019054042277,Belgium,75–100,3659.0,0.0,2.0,4.0,5.0,7.0,87.0,123.0,8.0,58.0,1.0
02065,Bellicourt,51.59987060009656,Belgium,50–75,560.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
02066,Benay,65.2061284292936,Belgium,50–75,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02067,Bergues-sur-Sambre,30.49672517726454,Belgium,30–50,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02068,Berlancourt,35.27375646309578,Belgium,30–50,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02069,Berlise,32.41408193908956,Belgium,30–50,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02070,Bernot,48.318655096906,Belgium,30–50,431.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02071,Berny-Rivière,95.2764640837815,Belgium,75–100,631.0,0.0,0.0,0.0,2.0,2.0,6.0,8.0,2.0,0.0,1.0
02072,Berrieux,58.09011586547197,Belgium,50–75,178.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
02073,Berry-au-Bac,64.51138598823967,Belgium,50–75,722.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
02074,Bertaucourt-Epourdon,66.23288386250209,Belgium,50–75,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02075,Berthenicourt,59.526062609154685,Belgium,50–75,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02076,Bertricourt,63.21205981504447,Belgium,50–75,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02078,Besmé,85.98011399213942,Belgium,75–100,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02463,Marfontaine,33.32534559518183,Belgium,30–50,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02464,Margival,80.44320022786795,Belgium,75–100,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02465,Marigny-en-Orxois,122.43214892636648,Belgium,,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02466,Marizy-Sainte-Geneviève,112.00353500420839,Belgium,,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02467,Marizy-Saint-Mard,110.34732787274713,Belgium,,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02468,Marle,37.42974396608969,Belgium,30–50,2229.0,2.0,3.0,5.0,5.0,11.0,63.0,59.0,11.0,43.0,1.0
02469,Marly-Gomont,27.358101935384873,Belgium,20–30,483.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0
02470,Martigny,11.161548605139163,Belgium,10–20,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
02471,Martigny-Courpierre,63.14301817703467,Belgium,50–75,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02472,Mauregny-en-Haye,54.238383417474914,Belgium,50–75,398.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
02473,Mayot,61.36495207033086,Belgium,50–75,207.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02474,Mennessis,69.92924035554404,Belgium,50–75,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02476,Mennevret,36.276419780648496,Belgium,30–50,637.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
02477,Mercin-et-Vaux,92.51979107920961,Belgium,75–100,935.0,2.0,1.0,2.0,0.0,5.0,144.0,96.0,4.0,75.0,0.0
02478,Merlieux-et-Fouquerolles,68.86545076004384,Belgium,50–75,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02480,Mesbrecourt-Richecourt,52.05491904690012,Belgium,50–75,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02481,Mesnil-Saint-Laurent,58.24285491409113,Belgium,50–75,435.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,1.0,0.0,0.0
02482,Meurival,73.48870300576039,Belgium,50–75,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02483,Mézières-sur-Oise,58.10962299907504,Belgium,50–75,507.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
02484,Mézy-Moulins,110.90864563003727,Belgium,,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02485,Missy-aux-Bois,96.38236477948034,Belgium,75–100,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02486,Missy-lès-Pierrepont,46.73349909181979,Belgium,30–50,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02487,Missy-sur-Aisne,83.93001018129011,Belgium,75–100,625.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
02488,Molain,32.59092743447597,Belgium,30–50,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02489,Molinchart,63.13751096083748,Belgium,50–75,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02490,Monampteuil,69.75614159885961,Belgium,50–75,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03144,Liernolles,170.75930762818126,Switzerland,,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03145,Lignerolles,262.9811794984282,Switzerland,,760.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
03146,Limoise,230.4478027572662,Switzerland,,175.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
03147,Loddes,170.2819293730492,Switzerland,,166.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03148,Loriges,203.00509336229672,Switzerland,,350.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03149,Louchy-Montfand,209.98354794565978,Switzerland,,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03150,Louroux-Bourbonnais,242.79184138084165,Switzerland,,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03151,Louroux-de-Beaune,239.9030670742611,Switzerland,,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03152,Louroux-de-Bouble,230.51880312363085,Switzerland,,226.0,0.0,0.0,0.0,1.0,1.0,5.0,8.0,2.0,0.0,0.0
