neighbour,zone,pop,communes,small_food_per10k,large_food_per10k,non_food_per10k,fuel_per10k,outlets_per10k,jobs_per1000,jobs_per_est,big_share,jobs_growth_12_24,est_growth_12_24,tob_per10k
Belgium,border,2586133.0000,810.0000,15.2583,2.4322,25.5981,1.0015,43.2886,32.8154,10.8260,0.3305,0.0658,-0.0491,2.4747
Belgium,hinterland,1645132.0000,1971.0000,16.2297,2.7293,28.1436,1.7628,47.1026,27.0179,7.9971,0.3741,0.0535,-0.0619,4.6015
Germany,border,1743268.0000,643.0000,16.9796,2.2888,29.9954,1.2964,49.2638,29.2474,8.1408,0.3384,0.0622,-0.0146,2.2659
Germany,hinterland,724284.0000,593.0000,15.8225,2.6785,29.1460,1.5464,47.6471,27.3746,7.9658,0.3691,0.0348,-0.0702,3.3827
Italy,border,682609.0000,142.0000,31.7458,2.4465,52.3579,1.3917,86.5503,40.2690,6.6816,0.2370,0.1739,-0.0148,3.8968
Italy,hinterland,1260007.0000,558.0000,23.4046,1.9524,35.9522,1.8492,61.3092,27.1752,6.7764,0.2970,0.0760,-0.0559,3.3730
Luxembourg,border,292739.0000,116.0000,11.9902,2.7670,20.3594,0.6490,35.1166,21.3501,8.5852,0.4222,0.0499,-0.0808,1.2981
Luxembourg,hinterland,36220.0000,89.0000,13.8045,3.0370,9.1110,1.9326,25.9525,5.1353,4.5366,0.4677,0.0568,-0.1087,3.0370
Spain,border,406749.0000,500.0000,30.6577,2.6306,41.4260,1.8193,74.7144,25.4358,5.3998,0.3322,0.3285,0.0686,3.8107
Spain,hinterland,2349414.0000,1543.0000,20.5796,2.3665,32.4634,1.6813,55.4096,28.7982,7.5102,0.3264,0.1405,-0.0135,3.0944
Switzerland,border,1117812.0000,698.0000,17.7042,2.2902,28.0011,1.6013,47.9955,26.7952,7.7576,0.3700,0.1165,-0.0240,3.1580
Switzerland,hinterland,3110531.0000,1613.0000,18.8875,1.9836,31.0365,1.5335,51.9075,22.2039,8.0713,0.3308,0.0864,0.0110,3.2663
All borders,border,6829310.0000,2909.0000,18.5231,2.3999,30.5067,1.2476,51.4298,30.7333,8.4902,0.3286,0.0954,-0.0235,2.7045
All borders,hinterland,9125588.0000,6367.0000,19.2042,2.2716,31.3240,1.6591,52.7999,25.7986,7.6669,0.3361,0.0887,-0.0281,3.4858
