neighbour,band,pop,communes,small_food_per10k,large_food_per10k,non_food_per10k,fuel_per10k,outlets_per10k,jobs_per1000,jobs_per_est,big_share,jobs_growth_12_24,est_growth_12_24,tob_per10k
Belgium,0–10,1390853.0000,417.0000,14.8901,2.3942,23.3885,0.9562,40.6729,34.2991,12.3492,0.3608,0.0098,-0.0326,1.9844
Belgium,10–20,1195280.0000,393.0000,15.6867,2.4764,28.1691,1.0541,46.3322,31.0889,9.3461,0.2915,0.1475,-0.0647,3.0453
Belgium,20–30,772379.0000,379.0000,13.8015,2.5506,24.3274,1.3465,40.6795,28.4472,9.4220,0.3791,0.0656,-0.1048,4.2725
Belgium,30–50,848721.0000,786.0000,14.3157,2.4979,22.3631,1.6731,39.1766,22.3218,8.2910,0.4206,-0.0598,-0.1188,4.4655
Belgium,50–75,649860.0000,1030.0000,14.5262,2.6775,24.6669,1.9081,41.8706,23.8328,7.9835,0.4263,0.0459,-0.0968,4.8472
Belgium,75–100,995272.0000,941.0000,17.3420,2.7631,30.4138,1.6679,50.5189,29.0976,8.0044,0.3462,0.0577,-0.0421,4.4410
Germany,0–10,1067550.0000,345.0000,15.8681,2.2294,27.8020,1.1522,45.8995,27.8554,8.3111,0.3435,0.0832,-0.0219,1.9859
Germany,10–20,675718.0000,298.0000,18.7356,2.3827,33.4607,1.5243,54.5790,31.4466,7.9140,0.3313,0.0342,-0.0048,2.7082
Germany,20–30,315818.0000,305.0000,18.5233,2.4381,20.3915,1.4882,41.3529,21.4934,8.1489,0.4688,0.0310,-0.0724,3.0081
Germany,30–50,409388.0000,411.0000,18.5154,2.5404,29.1899,1.8320,50.2457,26.1097,7.5434,0.3810,0.0054,-0.0817,3.2488
Germany,50–75,547487.0000,353.0000,15.7264,2.7763,29.0966,1.4795,47.5993,27.6481,7.9794,0.3645,0.0393,-0.0728,3.3791
Germany,75–100,176797.0000,240.0000,16.1202,2.3756,29.2991,1.7534,47.7949,26.5276,7.9223,0.3842,0.0205,-0.0618,3.3937
Italy,0–10,177006.0000,63.0000,35.0836,2.8248,58.0771,2.0338,95.9854,39.0100,5.7446,0.2960,0.1615,0.0101,5.4800
Italy,10–20,505603.0000,79.0000,30.5774,2.3141,50.3557,1.1669,83.2471,40.7098,7.0683,0.2173,0.1782,-0.0248,3.3425
Italy,20–30,302212.0000,91.0000,30.8393,2.7795,54.7629,1.9854,88.3817,39.7668,6.3926,0.2513,0.1530,-0.0374,3.6067
Italy,30–50,461758.0000,206.0000,27.8717,2.2523,49.0733,1.9274,79.1973,34.1911,6.4310,0.2911,0.0711,-0.0550,3.4650
Italy,50–75,791545.0000,310.0000,22.4750,1.8571,34.0600,1.5160,58.3921,28.7059,7.1296,0.2731,0.0602,-0.0357,3.1963
Italy,75–100,468462.0000,248.0000,24.9753,2.1133,39.1494,2.4121,66.2380,24.5890,6.1731,0.3440,0.1084,-0.0884,3.6716
Luxembourg,0–10,148596.0000,62.0000,12.3826,2.6246,24.7651,0.5384,39.7723,21.4541,7.7191,0.4250,-0.0325,-0.1537,1.2113
Luxembourg,10–20,144143.0000,54.0000,11.5857,2.9138,15.8176,0.7631,30.3171,21.2428,9.7206,0.4193,0.1520,0.0362,1.3875
Luxembourg,20–30,144387.0000,50.0000,12.2587,2.7011,26.4567,1.4544,41.4165,30.5429,10.1613,0.4463,-0.0392,-0.1540,1.9392
Luxembourg,30–50,113837.0000,84.0000,14.9336,2.3718,27.1441,1.3177,44.4495,32.9155,9.9127,0.2866,0.0446,0.0027,2.1961
Luxembourg,50–75,18395.0000,58.0000,11.9598,2.1745,9.7853,2.7181,23.9195,6.0342,4.8261,0.5946,0.5205,0.0952,3.2618
Luxembourg,75–100,17825.0000,31.0000,15.7083,3.9271,8.4151,1.1220,28.0505,4.2076,4.1667,0.2800,-0.2718,-0.2800,2.8050
Spain,0–10,200018.0000,187.0000,35.4968,3.1497,47.2957,1.9498,85.9423,28.1925,5.3756,0.3680,0.2164,0.0194,4.0996
Spain,10–20,206731.0000,313.0000,25.9758,2.1284,35.7469,1.6930,63.8511,22.7687,5.4291,0.2894,0.4933,0.1348,3.5312
Spain,20–30,534982.0000,297.0000,24.6550,2.4861,40.3004,1.6075,67.4415,33.3114,7.4910,0.3288,0.0605,-0.0674,3.1777
Spain,30–50,532231.0000,732.0000,20.7429,2.5929,29.9682,2.0104,53.3039,24.8388,7.1576,0.3725,0.1404,-0.0207,3.5699
